,Label,Sub-Label,Book titles,Song titles,Movies titles
0,Emotions,Fear,"""The Dinner"" by Herman Koch","""Thriller"" by Michael Jackson",Psycho (1960)
1,Emotions,Fear,"""A Grief Observed"" by C.S. Lewis","""Disturbia"" by Rihanna",The Shining (1980)
2,Emotions,Fear,"""The Rage of Dragons"" by Evan Winter","""Hurt"" by Nine Inch Nails",The Babadook (2014)
3,Emotions,Fear,"""Othello"" by William Shakespeare","""I Will Possess Your Heart"" by Death Cab for Cutie",The Silence of the Lambs (1991)
4,Emotions,Fear,"""Fight Club"" by Chuck Palahniuk","""Boulevard of Broken Dreams"" by Green Day",The Conjuring (2013) -
5,Emotions,Fear,"""IT"" by Stephen King","""Highway to Hell"" by AC/DC",The Lobster (2015)
6,Emotions,Numbness,"""The Stranger"" by Albert Camus","""Numb"" by Linkin Park",Anomalisa (2015)
7,Emotions,Numbness,"""No Longer Human"" by Osamu Dazai","""Comfortably Numb"" by Pink Floyd",Drive (2011)
8,Emotions,Numbness,"""The Dispossessed"" by Ursula K. Le Guin","""Boulevard of Broken Dreams"" by Green Day",American Beauty (1999)
9,Emotions,Numbness,"""Blindness"" by José Saramago","""The Unforgiven"" by Metallica",Lost in Translation (2003)
10,Emotions,Numbness,"""The Stranger Beside Me"" by Ann Rule","""Numbness"" by Crystal Castles",WALL-E (2008)
11,Emotions,Numbness,"""The Catcher in the Rye"" by J.D. Salinger","""Everybody Hurts"" by R.E.M.","Synecdoche, New York (2008)"
12,Emotions,Lonliness,"""Stoner"" by John Williams","""Eleanor Rigby"" by The Beatles",Eternal Sunshine of the Spotless Mind (2004) -
13,Emotions,Lonliness,"""The Perks of Being a Wallflower"" by Stephen Chbosky","""All By Myself"" by Eric Carmen",Into the Wild (2007)
14,Emotions,Lonliness,"""Never Let Me Go"" by Kazuo Ishiguro","""I'm So Lonesome I Could Cry"" by Hank Williams",An Education (2009)
15,Emotions,Lonliness,"""Mrs. Dalloway"" by Virginia Woolf","""Lonely"" by Akon",A Ghost Story (2017) -
16,Emotions,Lonliness,"""A Man Called Ove"" by Fredrik Backman","""Solitude"" by Duke Ellington",Requiem for a Dream (2000)
17,Emotions,Lonliness,"""The Road"" by Cormac McCarthy","""Only the Lonely"" by Roy Orbison",Leaving Las Vegas (1995)
18,Emotions,Worthlessness,"""The Stranger"" by Albert Camus","""Creep"" by Radiohead",Whiplash (2014)
19,Emotions,Worthlessness,"""Notes from Underground"" by Fyodor Dostoevsky","""In My Blood"" by Shawn Mendes",The Pursuit of Happyness (2006)
20,Emotions,Worthlessness,"""A Little Life"" by Hanya Yanagihara","""Loser"" by Beck",Sophie's Choice (1982)
21,Emotions,Worthlessness,"""The Sorrows of Young Werther"" by Johann Wolfgang von Goethe","""No Surprises"" by Radiohead",Beasts of the Southern Wild (2012)
22,Emotions,Worthlessness,"""Less"" by Andrew Sean Greer","""Little Dark Age"" by MGMT",The Road (2009) -
23,Emotions,Worthlessness,"""The Remains of the Day"" by Kazuo Ishiguro","""Somebody That I Used To Know"" by Gotye ft. Kimbra",The Impossible (2012)
24,Emotions,Helplessness,"""The Remains of the Day"" by Kazuo Ishiguro","""Help!"" by The Beatles",Buried (2010) -
25,Emotions,Helplessness,"""We Need to Talk About Kevin"" by Lionel Shriver","""I'm So Tired"" by The Beatles",Shame (2011)
26,Emotions,Helplessness,"""Room"" by Emma Donoghue","""Someone Like You"" by Adele",American History X (1998)
27,Emotions,Helplessness,"""The Giver"" by Lois Lowry","""In My Time of Need"" by Opeth",Precious (2009)
28,Emotions,Helplessness,"""The Bell Jar"" by Sylvia Plath","""Everybody Hurts"" by R.E.M.",Boys Don't Cry (1999)
29,Emotions,Helplessness,"""The Stranger"" by Albert Camus","""How to Save a Life"" by The Fray",The Hunt (2012) -
30,Emotions,Shame ,"""The Scarlet Letter"" by Nathaniel Hawthorne","""Shame"" by Evelyn ""Champagne"" King",Eternal Sunshine of the Spotless Mind (2004)
31,Emotions,Shame ,"""Atonement"" by Ian McEwan","""Sorry"" by Justin Bieber",Blue Valentine (2010)
32,Emotions,Shame ,"""Shame"" by Salman Rushdie","""The Man Who Can't Be Moved"" by The Script",Million Dollar Baby (2004)
33,Emotions,Shame ,"""The Secret History"" by Donna Tartt","""Loser"" by 3 Doors Down",My Girl (1991)
34,Emotions,Shame ,"""Black Swan Green"" by David Mitchell","""Shameless"" by Billy Joel",The Lovely Bones (2009)
35,Emotions,Shame ,"""Gilead"" by Marilynne Robinson","""Crawling"" by Linkin Park",The Shawshank Redemption (1994)
36,Emotions,Hurt,"""A Little Life"" by Hanya Yanagihara","""Hurt"" by Johnny Cash (originally by Nine Inch Nails)",Mystic River (2003)
37,Emotions,Hurt,"""The Fault in Our Stars"" by John Green","""Someone Like You"" by Adele",The Secret in Their Eyes (2009)
38,Emotions,Hurt,"""The Lovely Bones"" by Alice Sebold","""I Will Always Love You"" by Whitney Houston (originally by Dolly Parton)",Léon: The Professional (1994) -
39,Emotions,Hurt,"""The Song of Achilles"" by Madeline Miller","""Yesterday"" by The Beatles",The Constant Gardener (2005)
40,Emotions,Hurt,"""Never Let Me Go"" by Kazuo Ishiguro","""Bleeding Love"" by Leona Lewis",Manchester by the Sea (2016) -
41,Emotions,Hurt,"""Me Before You"" by Jojo Moyes","""Stay With Me"" by Sam Smith",A Monster Calls (2016)
42,Emotions,Guilt,"""The Dinner"" by Herman Koch","""Guilt"" by Marianne Faithfull",Ordinary People (1980)
43,Emotions,Guilt,"""Crime and Punishment"" by Fyodor Dostoevsky","""Guilt Trip"" by Kanye West",Moonlight (2016)
44,Emotions,Guilt,"""The Kite Runner"" by Khaled Hosseini","""Sorry"" by Justin Bieber","Three Billboards Outside Ebbing, Missouri (2017)"
45,Emotions,Guilt,"""Atonement"" by Ian McEwan","""Breathe Me"" by Sia",Fight Club (1999)
46,Emotions,Guilt,"""We Were Liars"" by E. Lockhart","""Unforgiven"" by Metallica",American History X (1998)
